Manche;Nom;Vie;Dégâts;Vitesse
27;GiantEnfant;269,51;40,86;0,99
27;GiantEnfant;241,28;37,24;1,05
27;GiantEnfant;248,90;37,90;1,12
27;GiantEnfant;250,62;37,83;1,07
27;GiantEnfant;264,14;36,54;1,11
27;GiantEnfant;233,57;36,25;1,01
27;GiantEnfant;186,28;35,96;1,06
28;GiantEnfant;260,68;43,24;0,99
28;GiantEnfant;244,69;43,21;0,83
28;GiantEnfant;241,90;34,63;1,01
28;GiantEnfant;197,40;38,74;1,05
28;GiantEnfant;236,32;37,91;1,04
28;GiantEnfant;154,00;36,12;1,04
28;GiantEnfant;278,78;37,02;1,07
28;GiantEnfant;169,60;37,15;1,03
28;GiantEnfant;186,89;38,78;0,80
28;GiantEnfant;177,56;33,71;1,10
28;GiantEnfant;242,69;37,35;0,98
28;GiantEnfant;204,43;36,34;0,84
28;GiantEnfant;269,73;43,37;1,05
28;GiantEnfant;266,91;37,97;1,04
28;GiantEnfant;254,25;37,13;0,92
28;GiantEnfant;267,62;39,91;0,93
28;GiantEnfant;170,18;36,68;1,01
28;GiantEnfant;188,80;36,59;1,04
28;GiantEnfant;272,06;35,64;1,11
28;GiantEnfant;164,11;37,57;0,98
29;GiantEnfant;248,59;44,18;0,98
29;GiantEnfant;250,05;44,15;0,80
29;GiantEnfant;272,98;40,23;0,90
29;GiantEnfant;245,97;37,85;0,96
29;GiantEnfant;204,88;38,19;1,02
29;GiantEnfant;232,51;36,58;1,04
29;GiantEnfant;146,65;34,49;1,03
29;GiantEnfant;194,03;38,12;0,81
29;GiantEnfant;163,87;38,11;1,02
29;GiantEnfant;179,53;33,27;1,13
29;GiantEnfant;165,78;38,65;0,95
29;GiantEnfant;266,87;35,23;1,03
29;GiantEnfant;250,21;42,04;0,97
29;GiantEnfant;177,93;39,75;1,06
29;GiantEnfant;255,49;41,52;0,80
29;GiantEnfant;181,15;38,31;0,81
29;GiantEnfant;187,07;37,31;1,06
29;GiantEnfant;182,07;38,76;1,03
29;GiantEnfant;232,95;39,48;1,06
29;GiantEnfant;184,22;39,68;0,77
30;GiantEnfant;244,06;44,28;0,97
30;GiantEnfant;258,45;43,21;0,81
30;GiantEnfant;261,80;42,11;0,92
30;GiantEnfant;234,07;36,18;1,00
30;GiantEnfant;206,39;36,36;0,97
30;GiantEnfant;223,37;35,72;1,08
30;GiantEnfant;139,35;33,57;1,00
30;GiantEnfant;275,52;36,75;1,01
30;GiantEnfant;196,30;36,06;1,05
30;GiantEnfant;189,32;37,32;0,83
30;GiantEnfant;236,81;41,81;1,06
30;GiantEnfant;261,67;36,35;1,01
30;GiantEnfant;225,19;36,75;1,08
30;GiantEnfant;252,50;42,81;0,78
30;GiantEnfant;245,48;38,89;0,81
30;GiantEnfant;195,36;39,28;0,93
30;GiantEnfant;258,93;33,81;1,05
30;GiantEnfant;240,56;34,80;0,88
30;GiantEnfant;242,89;35,69;0,99
30;GiantEnfant;185,08;38,46;1,04
